Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T02:34:21
Nivel: level_1
Config: poblacion=12, generaciones=5, seleccion=tournament, cruce=uniform, mutacion=0.32x0.32, pesos(a/s/o/p)=1.65/1.65/2.10/1.45

Resumen:
- Gen 1: best=9234.7 | kills=4/5 | dmg=270 | stuck=40f | hongos=1 | success=0%
- Gen 2: best=9445.0 | kills=4/5 | dmg=270 | stuck=40f | hongos=0 | success=0%
- Gen 3: best=9360.2 | kills=4/5 | dmg=270 | stuck=40f | hongos=1 | success=0%
- Gen 4: best=9498.2 | kills=4/5 | dmg=270 | stuck=40f | hongos=0 | success=0%
- Gen 5: best=9474.6 | kills=4/5 | dmg=270 | stuck=40f | hongos=0 | success=0%
- Validacion final: NO PASO | kills=4/5 | dmg=270 | sim_t=233.3s | real_t=0.9s | stuck_max=40f | hongos=1

Detalle por individuo:
- gen=1/5 | ind=1/12 | fit=4156.77 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.83s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=2/12 | fit=3994.71 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.86s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/5 | ind=3/12 | fit=1900.39 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=1.05s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=4/12 | fit=1834.27 | kills=1/5 | dmg=107 | sim_t=200.00s | real_t=0.99s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=5/12 | fit=1651.22 | kills=1/5 | dmg=87 | sim_t=200.00s | real_t=0.98s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=6/12 | fit=3987.09 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.95s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/5 | ind=7/12 | fit=3644.36 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.97s | frames=12000 | stuck=82f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=8/12 | fit=4042.14 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.91s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/5 | ind=9/12 | fit=1923.79 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=1.11s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=10/12 | fit=4401.71 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=11/12 | fit=9234.73 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=0.81s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/5 | ind=12/12 | fit=4082.43 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.92s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=2/5 | ind=1/12 | fit=4157.37 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.85s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=2/5 | ind=2/12 | fit=3991.10 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.83s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
