Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T20:33:45
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.30x0.46, pesos(a/s/o/p)=1.05/1.00/1.50/1.25

Resumen:
- Gen 1: best=4405.7 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 2: best=6701.8 | kills=3/5 | dmg=190 | stuck=43f | hongos=1 | success=0%
- Gen 3: best=6734.7 | kills=3/5 | dmg=190 | stuck=40f | hongos=1 | success=0%
- Gen 4: best=6736.0 | kills=3/5 | dmg=190 | stuck=40f | hongos=1 | success=0%
- Gen 5: best=6846.8 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 6: best=6846.8 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 7: best=6869.5 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 8: best=6872.9 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 9: best=6875.9 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 10: best=6875.9 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Validacion final: NO PASO | kills=3/5 | dmg=190 | sim_t=233.3s | real_t=1.0s | stuck_max=40f | hongos=0

Detalle por individuo:
- gen=1/10 | ind=1/15 | fit=4405.67 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=11.75s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=2/15 | fit=4207.79 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=6.68s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/10 | ind=3/15 | fit=4231.41 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.77s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/10 | ind=4/15 | fit=4396.71 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.80s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=5/15 | fit=4232.86 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.77s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/10 | ind=6/15 | fit=4196.80 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.89s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/10 | ind=7/15 | fit=4405.53 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.78s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=8/15 | fit=1931.16 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=0.94s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=9/15 | fit=4178.12 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.79s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/10 | ind=10/15 | fit=4188.98 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.77s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/10 | ind=11/15 | fit=4285.63 | kills=2/5 | dmg=152 | sim_t=200.00s | real_t=0.91s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
