Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T21:06:13
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.30x0.48, pesos(a/s/o/p)=1.00/1.00/1.45/1.05

Resumen:
- Gen 1: best=13029.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 2: best=13068.2 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 3: best=13068.2 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 4: best=13068.2 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 5: best=13068.2 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 6: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 7: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 8: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 9: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 10: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Validacion final: NO PASO | kills=5/5 | dmg=330 | sim_t=233.3s | real_t=0.9s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=1/10 | ind=1/15 | fit=9205.55 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.18s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=2/15 | fit=8964.04 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.02s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=3/15 | fit=6778.16 | kills=3/5 | dmg=220 | sim_t=200.00s | real_t=1.38s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=4/15 | fit=9291.70 | kills=4/5 | dmg=310 | sim_t=200.00s | real_t=1.06s | frames=12000 | stuck=62f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=5/15 | fit=6663.82 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.14s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=6/15 | fit=9181.54 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.07s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=7/15 | fit=12948.63 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.84s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=8/15 | fit=9089.29 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.25s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=9/15 | fit=12731.28 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.94s | frames=12000 | stuck=65f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=10/15 | fit=9349.87 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.16s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=11/15 | fit=13029.02 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=12/15 | fit=12947.93 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=1.00s | frames=12000 | stuck=42f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=13/15 | fit=12758.83 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=1.06s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=14/15 | fit=9275.27 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.03s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=15/15 | fit=9120.54 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.23s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=1/15 | fit=13029.02 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=2/15 | fit=12948.63 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.86s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=3/15 | fit=12947.93 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=1.02s | frames=12000 | stuck=42f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=4/15 | fit=9306.40 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.23s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=5/15 | fit=9224.08 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.02s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=6/15 | fit=6782.33 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.14s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=7/15 | fit=9190.10 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.03s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=8/15 | fit=12777.86 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.85s | frames=12000 | stuck=61f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=9/15 | fit=13029.02 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.92s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=10/15 | fit=13029.02 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=11/15 | fit=9288.40 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.15s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=12/15 | fit=6813.95 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.97s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=13/15 | fit=12852.83 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=1.01s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=14/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.82s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=15/15 | fit=12973.77 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.92s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
