Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T21:12:43
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10

Resumen:
- Gen 1: best=14387.8 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=33%
- Gen 2: best=14387.8 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=40%
- Gen 3: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=67%
- Gen 4: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=60%
- Gen 5: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=73%
- Gen 6: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=47%
- Gen 7: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=67%
- Gen 8: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=67%
- Gen 9: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=47%
- Gen 10: best=14403.4 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=67%
- Validacion final: PASO | kills=5/5 | dmg=330 | sim_t=93.7s | real_t=0.6s | stuck_max=42f | osc=0 | hongos=0

Detalle por individuo:
- gen=1/10 | ind=1/15 | fit=9194.08 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.06s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=2/15 | fit=14337.94 | kills=5/5 | dmg=330 | sim_t=198.58s | real_t=0.97s | frames=11915 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=3/15 | fit=6638.36 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.96s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=4/15 | fit=6513.52 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.08s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=5/15 | fit=8903.33 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.13s | frames=12000 | stuck=54f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=6/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.72s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=7/15 | fit=14304.91 | kills=5/5 | dmg=330 | sim_t=103.00s | real_t=0.54s | frames=6180 | stuck=60f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=8/15 | fit=6741.30 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.11s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=9/15 | fit=6952.68 | kills=3/5 | dmg=230 | sim_t=200.00s | real_t=1.11s | frames=12000 | stuck=44f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=10/15 | fit=6782.78 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.08s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=11/15 | fit=6653.99 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.99s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=12/15 | fit=14284.38 | kills=5/5 | dmg=330 | sim_t=131.72s | real_t=0.75s | frames=7903 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=13/15 | fit=14306.75 | kills=5/5 | dmg=330 | sim_t=183.45s | real_t=0.94s | frames=11007 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=14/15 | fit=6831.01 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.98s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=15/15 | fit=9273.71 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.04s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=1/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.73s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=2/15 | fit=14337.94 | kills=5/5 | dmg=330 | sim_t=198.58s | real_t=0.99s | frames=11915 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=3/15 | fit=14306.75 | kills=5/5 | dmg=330 | sim_t=183.45s | real_t=0.95s | frames=11007 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=4/15 | fit=9257.89 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.02s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=5/15 | fit=14274.58 | kills=5/5 | dmg=330 | sim_t=110.07s | real_t=0.63s | frames=6604 | stuck=52f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=6/15 | fit=9360.99 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.03s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=7/15 | fit=14077.44 | kills=5/5 | dmg=330 | sim_t=197.92s | real_t=1.00s | frames=11875 | stuck=60f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=8/15 | fit=8965.85 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.03s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=9/15 | fit=9325.71 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.41s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=10/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.75s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=11/15 | fit=9238.65 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.06s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=12/15 | fit=9235.16 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.03s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=13/15 | fit=9330.34 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.19s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=14/15 | fit=6617.82 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.09s | frames=12000 | stuck=41f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=15/15 | fit=9270.60 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.08s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=1/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.74s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=2/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.74s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=3/15 | fit=14337.94 | kills=5/5 | dmg=330 | sim_t=198.58s | real_t=1.00s | frames=11915 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=4/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.75s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=5/15 | fit=14123.12 | kills=5/5 | dmg=330 | sim_t=199.90s | real_t=1.19s | frames=11994 | stuck=60f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=6/15 | fit=9371.06 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.09s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=7/15 | fit=14132.41 | kills=5/5 | dmg=330 | sim_t=188.92s | real_t=1.04s | frames=11335 | stuck=62f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=8/15 | fit=9335.36 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.28s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=9/15 | fit=9312.58 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.13s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=10/15 | fit=14327.19 | kills=5/5 | dmg=330 | sim_t=173.43s | real_t=0.91s | frames=10406 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=11/15 | fit=14403.37 | kills=5/5 | dmg=330 | sim_t=93.73s | real_t=0.55s | frames=5624 | stuck=42f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=12/15 | fit=9113.21 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.20s | frames=12000 | stuck=65f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=13/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.75s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=14/15 | fit=6739.00 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.18s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=15/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.75s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=4/10 | ind=1/15 | fit=14403.37 | kills=5/5 | dmg=330 | sim_t=93.73s | real_t=0.56s | frames=5624 | stuck=42f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=4/10 | ind=2/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.77s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=4/10 | ind=3/15 | fit=14387.85 | kills=5/5 | dmg=330 | sim_t=148.45s | real_t=0.74s | frames=8907 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=4/10 | ind=4/15 | fit=6646.47 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.01s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=5/15 | fit=14403.37 | kills=5/5 | dmg=330 | sim_t=93.73s | real_t=0.55s | frames=5624 | stuck=42f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=4/10 | ind=6/15 | fit=6614.49 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.98s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=7/15 | fit=14197.62 | kills=5/5 | dmg=330 | sim_t=98.27s | real_t=0.58s | frames=5896 | stuck=46f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=4/10 | ind=8/15 | fit=14389.18 | kills=5/5 | dmg=330 | sim_t=176.97s | real_t=0.90s | frames=10618 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=4/10 | ind=9/15 | fit=14366.38 | kills=5/5 | dmg=330 | sim_t=121.78s | real_t=0.74s | frames=7307 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=4/10 | ind=10/15 | fit=9325.71 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.42s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=11/15 | fit=9164.54 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.21s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=12/15 | fit=14374.40 | kills=5/5 | dmg=330 | sim_t=127.77s | real_t=0.72s | frames=7666 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=4/10 | ind=13/15 | fit=6841.11 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.02s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=14/15 | fit=9137.90 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.19s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
