Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T22:04:14
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10

Resumen:
- Gen 1: best=14283.5 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=47%
- Gen 2: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=67%
- Gen 3: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=93%
- Gen 4: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=53%
- Gen 5: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 6: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 7: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 8: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Gen 9: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Gen 10: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Validacion final: PASO | kills=5/5 | dmg=330 | sim_t=83.7s | real_t=0.6s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=1/10 | ind=1/15 | fit=14085.20 | kills=5/5 | dmg=330 | sim_t=126.90s | real_t=0.88s | frames=7614 | stuck=57f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=2/15 | fit=14283.54 | kills=5/5 | dmg=330 | sim_t=172.97s | real_t=1.32s | frames=10378 | stuck=42f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=3/15 | fit=6585.28 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.94s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=4/15 | fit=6817.95 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.31s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=5/15 | fit=4310.02 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=2.13s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=6/15 | fit=14128.03 | kills=5/5 | dmg=330 | sim_t=84.97s | real_t=0.60s | frames=5098 | stuck=64f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=7/15 | fit=9252.08 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.35s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=8/15 | fit=14278.87 | kills=5/5 | dmg=330 | sim_t=116.32s | real_t=0.88s | frames=6979 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=9/15 | fit=14123.23 | kills=5/5 | dmg=330 | sim_t=183.80s | real_t=1.31s | frames=11028 | stuck=59f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=10/15 | fit=14123.15 | kills=5/5 | dmg=330 | sim_t=183.93s | real_t=1.43s | frames=11036 | stuck=61f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=11/15 | fit=6653.99 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.37s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
