Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-22T01:05:03
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10, escenario=mixed_vs_many_agents

Resumen:
- Gen 1: best=6691.9 | kills=3/5 | dmg=170 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 2: best=9373.6 | kills=4/5 | dmg=250 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 3: best=14487.6 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=7%
- Gen 4: best=9373.5 | kills=4/5 | dmg=250 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 5: best=14483.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=20%
- Gen 6: best=14475.5 | kills=5/5 | dmg=330 | stuck=41f | osc=0 | hongos=0 | success=7%
- Gen 7: best=14495.7 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=13%
- Gen 8: best=14492.9 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=33%
- Gen 9: best=14497.5 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=47%
- Gen 10: best=14497.5 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=40%
- Validacion final: PASO | kills=5/5 | dmg=330 | sim_t=80.4s | real_t=0.7s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=1/10 | ind=1/15 | fit=4345.78 | kills=2/5 | dmg=120 | sim_t=200.00s | real_t=1.98s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=2/15 | fit=4369.82 | kills=2/5 | dmg=120 | sim_t=200.00s | real_t=1.87s | frames=12000 | stuck=32f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=3/15 | fit=2021.78 | kills=1/5 | dmg=60 | sim_t=200.00s | real_t=2.00s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=4/15 | fit=1965.60 | kills=1/5 | dmg=60 | sim_t=200.00s | real_t=1.93s | frames=12000 | stuck=25f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=5/15 | fit=1988.06 | kills=1/5 | dmg=60 | sim_t=200.00s | real_t=1.91s | frames=12000 | stuck=23f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=6/15 | fit=2025.08 | kills=1/5 | dmg=60 | sim_t=200.00s | real_t=2.00s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=7/15 | fit=4482.36 | kills=2/5 | dmg=120 | sim_t=200.00s | real_t=1.99s | frames=12000 | stuck=24f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=8/15 | fit=1821.46 | kills=1/5 | dmg=60 | sim_t=200.00s | real_t=3.41s | frames=12000 | stuck=25f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=9/15 | fit=1978.29 | kills=1/5 | dmg=60 | sim_t=200.00s | real_t=2.13s | frames=12000 | stuck=26f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=10/15 | fit=4411.37 | kills=2/5 | dmg=120 | sim_t=200.00s | real_t=2.48s | frames=12000 | stuck=28f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=11/15 | fit=6691.89 | kills=3/5 | dmg=170 | sim_t=200.00s | real_t=2.42s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=12/15 | fit=4213.90 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=2.16s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=13/15 | fit=4637.10 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=2.52s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=14/15 | fit=4628.31 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=2.16s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=15/15 | fit=2189.69 | kills=1/5 | dmg=120 | sim_t=200.00s | real_t=1.92s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=1/15 | fit=6691.89 | kills=3/5 | dmg=170 | sim_t=200.00s | real_t=2.19s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=2/15 | fit=4637.10 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=1.92s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=3/15 | fit=2448.85 | kills=1/5 | dmg=135 | sim_t=200.00s | real_t=2.00s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=4/15 | fit=4493.66 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=1.95s | frames=12000 | stuck=37f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=5/15 | fit=6969.82 | kills=3/5 | dmg=200 | sim_t=200.00s | real_t=2.14s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=6/15 | fit=2156.58 | kills=1/5 | dmg=85 | sim_t=200.00s | real_t=2.12s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=7/15 | fit=1991.33 | kills=1/5 | dmg=60 | sim_t=200.00s | real_t=1.97s | frames=12000 | stuck=23f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=8/15 | fit=9373.57 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.77s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=9/15 | fit=6691.89 | kills=3/5 | dmg=170 | sim_t=200.00s | real_t=2.20s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=10/15 | fit=6691.89 | kills=3/5 | dmg=170 | sim_t=200.00s | real_t=2.21s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=11/15 | fit=6679.28 | kills=3/5 | dmg=170 | sim_t=200.00s | real_t=2.07s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=12/15 | fit=2353.55 | kills=1/5 | dmg=120 | sim_t=200.00s | real_t=1.93s | frames=12000 | stuck=24f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=13/15 | fit=4420.62 | kills=2/5 | dmg=120 | sim_t=200.00s | real_t=1.87s | frames=12000 | stuck=30f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=14/15 | fit=4631.75 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=2.02s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
