Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-22T01:40:53
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10, escenario=mixed_vs_many_agents

Resumen:
- Gen 1: best=9325.7 | kills=4/5 | dmg=250 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 2: best=9415.8 | kills=4/5 | dmg=250 | stuck=29f | osc=0 | hongos=0 | success=0%
- Gen 3: best=9390.1 | kills=4/5 | dmg=250 | stuck=31f | osc=0 | hongos=0 | success=0%
- Gen 4: best=9410.4 | kills=4/5 | dmg=250 | stuck=35f | osc=0 | hongos=0 | success=0%
- Gen 5: best=9416.8 | kills=4/5 | dmg=250 | stuck=29f | osc=0 | hongos=0 | success=0%
- Gen 6: best=9448.0 | kills=4/5 | dmg=250 | stuck=29f | osc=0 | hongos=0 | success=0%
- Gen 7: best=9447.7 | kills=4/5 | dmg=250 | stuck=31f | osc=0 | hongos=0 | success=0%
- Gen 8: best=9416.8 | kills=4/5 | dmg=250 | stuck=29f | osc=0 | hongos=0 | success=0%
- Gen 9: best=9447.7 | kills=4/5 | dmg=250 | stuck=31f | osc=0 | hongos=0 | success=0%
- Gen 10: best=9410.4 | kills=4/5 | dmg=250 | stuck=35f | osc=0 | hongos=0 | success=0%
- Validacion final: NO PASO | kills=4/5 | dmg=250 | sim_t=233.3s | real_t=1.6s | stuck_max=31f | osc=0 | hongos=0

Detalle por individuo:
- gen=1/10 | ind=1/15 | fit=2063.84 | kills=1/5 | dmg=110 | sim_t=200.00s | real_t=2.07s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=2/15 | fit=1811.78 | kills=1/5 | dmg=50 | sim_t=200.00s | real_t=1.47s | frames=12000 | stuck=22f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=3/15 | fit=6726.00 | kills=3/5 | dmg=170 | sim_t=200.00s | real_t=1.53s | frames=12000 | stuck=36f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=4/15 | fit=1797.70 | kills=1/5 | dmg=50 | sim_t=200.00s | real_t=1.24s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=5/15 | fit=1850.53 | kills=1/5 | dmg=50 | sim_t=200.00s | real_t=1.31s | frames=12000 | stuck=26f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=6/15 | fit=1810.82 | kills=1/5 | dmg=50 | sim_t=200.00s | real_t=2.30s | frames=12000 | stuck=27f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=7/15 | fit=1860.21 | kills=1/5 | dmg=50 | sim_t=200.00s | real_t=1.75s | frames=12000 | stuck=33f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=8/15 | fit=9325.71 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.38s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=9/15 | fit=1803.89 | kills=1/5 | dmg=50 | sim_t=200.00s | real_t=2.30s | frames=12000 | stuck=27f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=10/15 | fit=1595.44 | kills=1/5 | dmg=70 | sim_t=200.00s | real_t=3.81s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=11/15 | fit=1838.75 | kills=1/5 | dmg=50 | sim_t=200.00s | real_t=1.73s | frames=12000 | stuck=25f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=12/15 | fit=1791.09 | kills=1/5 | dmg=50 | sim_t=200.00s | real_t=1.34s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
