Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T23:58:12
Nivel: level_2
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.47x0.54, pesos(a/s/o/p)=1.20/1.05/1.55/1.20, escenario=mixed_vs_1_agent

Resumen:
- Gen 1: best=3959.2 | kills=2/8 | dmg=140 | stuck=32f | osc=0 | hongos=0 | success=0%
- Gen 2: best=3980.2 | kills=2/8 | dmg=140 | stuck=30f | osc=0 | hongos=0 | success=0%
- Gen 3: best=4079.2 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 4: best=4080.1 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 5: best=4252.1 | kills=2/8 | dmg=170 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 6: best=4111.0 | kills=2/8 | dmg=155 | stuck=27f | osc=0 | hongos=0 | success=0%
- Gen 7: best=4080.1 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 8: best=4080.1 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 9: best=4080.1 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Gen 10: best=4080.3 | kills=2/8 | dmg=140 | stuck=20f | osc=0 | hongos=0 | success=0%
- Validacion final: NO PASO | kills=3/8 | dmg=220 | sim_t=150.0s | real_t=1.7s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=1/10 | ind=1/15 | fit=1488.42 | kills=1/8 | dmg=80 | sim_t=126.67s | real_t=1.52s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=2/15 | fit=1493.69 | kills=1/8 | dmg=80 | sim_t=126.67s | real_t=1.52s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=3/15 | fit=3892.14 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.41s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=4/15 | fit=1733.22 | kills=1/8 | dmg=125 | sim_t=126.67s | real_t=1.44s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=5/15 | fit=3920.84 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.46s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=6/15 | fit=3876.39 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.44s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=7/15 | fit=-1415.57 | kills=0/8 | dmg=0 | sim_t=126.67s | real_t=1.57s | frames=7600 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=8/15 | fit=3883.37 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.49s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=9/15 | fit=1479.61 | kills=1/8 | dmg=80 | sim_t=126.67s | real_t=1.47s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=10/15 | fit=3959.18 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.41s | frames=7600 | stuck=32f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=11/15 | fit=-1226.42 | kills=0/8 | dmg=60 | sim_t=126.67s | real_t=1.43s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=12/15 | fit=1471.73 | kills=1/8 | dmg=80 | sim_t=126.67s | real_t=1.41s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=13/15 | fit=1401.12 | kills=1/8 | dmg=80 | sim_t=126.67s | real_t=1.43s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=14/15 | fit=3904.78 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.40s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=15/15 | fit=3884.80 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.36s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=1/15 | fit=3980.21 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.42s | frames=7600 | stuck=30f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=2/15 | fit=3901.07 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.42s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=3/15 | fit=1487.12 | kills=1/8 | dmg=80 | sim_t=126.67s | real_t=1.46s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=4/15 | fit=3954.30 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.42s | frames=7600 | stuck=32f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=5/15 | fit=3959.18 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.41s | frames=7600 | stuck=32f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=6/15 | fit=3904.84 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.49s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=7/15 | fit=3866.22 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.50s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=8/15 | fit=3865.88 | kills=2/8 | dmg=140 | sim_t=126.67s | real_t=1.41s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=9/15 | fit=1487.77 | kills=1/8 | dmg=80 | sim_t=126.67s | real_t=1.49s | frames=7600 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
